Year,Title,Character(s),Actor,Notes,Country,Identity
2023,"20,000 Species of Bees",Cocó/Lucía,Sofia Otero,Coco is an 8-year old boy who wants to be a girl,Spain,Transgender
2023,Marupok AF (Where Is The Lie?),Janzen Torres,EJ Jallorina,Trans woman who falls victim to an online dating catfishing scheme. The film is based on the online dating experience of a real trans woman.,Philippines,Transgender
2023,Here Comes the Groom,Wilhelmina,KaladKaren,The film features multiple body swaps including one involving the protagonist Rodrigo Jr. (Enchong Dee) and Wilhelmina.,Philippines,Transgender
2023,My Big Fat Greek Wedding 3,Victory,Melina Kotselou,"Victory is the mayor of Vrisi, a village which features as the main setting of the film.",United States,Non-binary
2023,Next Goal Wins,Jaiyah Saelua,Kaimana,,United States,Transgender
2023,"Orlando, My Political Biography",Orlando,21 transgender and non-binary persons,The film explores the struggles of trans and binary people through Woolf's novel Orlando,France,Transgender
2024,Ponyboi,Charlie,Indya Moore,,United States,Transgender
1924,Michael,Michael,Walter Slezak,Michael falls in love with a painter named Claude. He later leaves Claude for a woman.,Germany,Bisexual
1965,My Hustler,Paul,Paul America,,United States,Bisexual
1968,Lonesome Cowboys,Little Joe,Joe Dallesandro,The film is directed by gay artist Andy Warhol.,United States,Bisexual
2009,Cirque du Freak: The Vampire's Assistant,Eric,Eric Emerson,,United States,Bisexual
1968,Teorema,The Visitor,Terence Stamp,"This film, a parable, uses bisexuality as a symbol, with a beautiful man, unnamed and referred to as the ""Visitor,""[2] appearing in the lives of a typical bourgeois Italian family, making love to the father (Paolo), the mother (Lucia), the son (Pietro), the daughter (Odetta), and the maid (Emilia). After a telegram arrives and the Visitor has to leave, all the family members change, having to confront what was previously concealed by the trappings of bourgeois life.",Italy,Bisexual
1969,Midnight Cowboy,Joe Buck,Jon Voight,"Joe is a gigolo who has sex with men and women in an attempt to make money. The film is based on the 1965 novel of the same name.
The character was later parodied in the ""Brannigan, Begin Again"" episode of Futurama, which also used the film's theme, ""Everybody's Talkin'"" by Harry Nilsson.",United States,Bisexual
1969,Women in Love,Rupert Birkin,Alan Bates,Birkin is Gerald's best friend.,United Kingdom,Bisexual
1970,Bloody Mama,Fred,Robert Walden,Fred is one of the sons of 'Ma' Barker.,United States,Bisexual
1970,Where's Poppa?,Sidney Hocheiser,Ron Leibman,Sidney is Gordon's brother.,United States,Bisexual
1971,Doctors' Wives,Della Randolph,Rachel Roberts,Della has an affair with a woman while married to a doctor.,United States,Bisexual
1971,Sunday Bloody Sunday,Bob Elkin,Murray Head,Daniel and a divorced woman Alex are both involved in an open love triangle with sculptor Bob Elkin.,United Kingdom,Bisexual
1972,Cabaret,Baron Maximilian Von Heune,Helmut Griem,"Maximilian is a wealthy playboy who befriends Sally and takes her and Brian to his country estate where he courts both of them.
Based on the musical Cabaret.",United States,Bisexual
2009,Shank,Brian Roberts,Michael York,,United Kingdom,Bisexual
1972,Zee and Co.,Zee Blakeley,Elizabeth Taylor,Zee and Robert have an open marriage and they both end up sleeping with Stella.,United Kingdom,Bisexual
2009,A Single Man,Stella,Susannah York,,United States,Bisexual
1974,Lenny,Honey Bruce,Valerie Perrine,Honey is the wife of Lenny Bruce.,United States,Bisexual
1974,Score,Eddie,Casey Donovan,The story involves a happily married bisexual swinging couple who make a bet that they can seduce a couple of naive young newlyweds during a weekend get-together at their luxury Riviera villa. This was based on the on 1971 off-Broadway stage play of the same name.,United States,Bisexual
2009,Soundless Wind Chime,Betsy,Lynn Lowry,,"Hong Kong, Switzerland, China",Bisexual
1975,Dog Day Afternoon,Sonny Wortzik,Al Pacino,"Leon is Sonny's partner. Sonny is a first-time crook who tries rob a bank to pay for Leon's sex reassignment surgery, but his plan goes awry.
It is also mentioned that Sonny has children with his estranged wife, Angie (this led critic Tim Robey to call Sonny a ""bisexual desperado"").",United States,Bisexual
1975,The Rocky Horror Picture Show,Brad Majors,Barry Bostwick,"Brad cheats on his fiancée, Janet Weiss, with an alien transvestite man named Dr. Frank N Furter.","United Kingdom, United States",Bisexual
2009,Undertow,Rocky,Peter Hinwood,,"Peru, Colombia, France, Germany",Bisexual
1975,Saturday Night at the Baths,Michael,Robert Aberdeen,"Michael is a piano player at a bathhouse and falls in love with the manager, Scotti.",United States,Bisexual
1976,Fellini's Casanova,Giacomo Casanova,Donald Sutherland,Casanova is 18th-century Venetian adventurer and writer.,Italy,Bisexual
1977,Desperate Living,Peggy Gravel,Mink Stole,Gravel is Neurotic and delusional suburban housewife.,United States,Bisexual
1977,Valentino,Rudolph Valentino,Rudolf Nureyev,The film is loosely based on the life of silent film actor Rudolph Valentino.,United States,Bisexual
1978,Midnight Express,Billy,Brad Davis,"Billy is a young American student, who is sent to a Turkish prison for trying to smuggle hashish out of the country.",United States,Bisexual
1979,Manhattan,Jill Davis,Meryl Streep,Jill is Isaac's ex-wife who left him for Connie.,United States,Bisexual
1979,The Rose,"Mary Rose ""The Rose"" Foster",Bette Midler,Sarah is a former lover of Mary's.,United States,Bisexual
1979,The Tempest,Prospero,Heathcote Williams,Prospero is a magician.,United Kingdom,Bisexual
2010,Howl,Stephano,Christopher Biggins,,United States,Bisexual
1980,Richard's Things,Kate Morris,Liv Ullmann,"After the death of Richard, Kate discovers that he had been having an affair with Josie. They meet and eventually fall in love.",United Kingdom,Bisexual
2010,Kaboom,Josie,Amanda Redman,,United States,Bisexual
1981,Chanel Solitaire,Coco Chanel,Marie-France Pisier,Chanel was a French fashion designer and businesswoman.,"United States, United Kingdom, France",Bisexual
1982,48 Hrs.,Sally,Denise Crosby,,United States,Bisexual
1982,Querelle,Georges Querelle,Brad Davis,"George is a thief and murderer who frequents a bar and brothel for sailors run by Madame Lysiane, who is in love with his brother. He becomes Lysiane's lover after he wins a game of dice against her husband. He also has sex with Mario and lets himself be sodomized by Lysiane's husband.","France, West Germany",Bisexual
1982,Victor/Victoria,Richard DiNardo,Malcolm Jamieson,Richard is a hustler with whom Toddy is romantically involved.,"United Kingdom, United States",Bisexual
1983,The Fourth Man,Gerard Revé,Jeroen Krabbé,Gerard Revé is an alcoholic novelist.,Netherlands,Bisexual
1983,The Hunger,Miriam Blaylock,Catherine Deneuve,The film concerns a love triangle between a doctor who specializes in sleep and aging research (Sarandon) and a vampire couple (Deneuve and Bowie).,"United States, United Kingdom",Bisexual
2010,Valentine's Day,Sarah Roberts,Susan Sarandon,,United States,Bisexual
1983,The Lonely Lady,Jerilee Randall,Pia Zadora,"Jerilee Randall is a high school student, living in the San Fernando Valley, dreams of becoming a famous writer.",United States,Bisexual
1985,The Color Purple,Celie Harris-Johnson,Whoopi Goldberg,Avery is a showgirl and Mister's long-time mistress who's in love with Celie.,United States,Bisexual
2011,The Broken Tower,Shug Avery,Margaret Avery,,United States,Bisexual
1986,Blue Velvet,Frank Booth,Dennis Hopper,Booth is an aggressively psychopathic gangster and drug lord.,United States,Bisexual
1986,Tenue de soirée,Bob,Gérard Depardieu,Bob is an ebullient ex-convict.,France,Bisexual
1987,Beyond Therapy,Bruce,Jeff Goldblum,Bruce has a male live-in lover and female spouse.,United States,Bisexual
1987,Less than Zero,Julian Wells,Robert Downey Jr.,Wells is Clay's high school best friend.,United States,Bisexual
1988,Torch Song Trilogy,Ed,Brian Kerwin,Ed is a schoolteacher.,United States,Bisexual
1988,We Think the World of You,Johnny,Gary Oldman,Johnny is an aimless young married man living in post-war London.,United Kingdom,Bisexual
1989,The Rainbow,Ursula Brangwen,Sammi Davis,Ursula is the eldest child of a wealthy Derbyshire farmer.,"United Kingdom, United States",Bisexual
2011,Love Actually... Sucks!,Winifred Inger,Amanda Donohoe,,Hong Kong,Bisexual
1990,Henry & June,June Miller,Uma Thurman,Henry's wife June has an affair with Anaïs Nin.,United States,Bisexual
1991,Fried Green Tomatoes,Ruth Jamison,Mary-Louise Parker,"Idgie has always loved Ruth. Ruth had a previous relationship with Buddy Threadgoode, Idgie's brother, before she married and had a child with another man. After Idgie rescues Ruth from her abusive husband, the romantic relationship between the two women begins.
Based on the novel Fried Green Tomatoes at the Whistle Stop Cafe, where the relationship between Idgie and Ruth is not explicitly identified as a lesbian relationship, but every resident knows about them and accepts their relationship.",United States,Bisexual
1991,JFK,David Ferrie,Joe Pesci,,United States,Bisexual
1991,Madonna: Truth or Dare,Herself,Sandra Bernhard,Bernhard is an actress.,United States,Bisexual
1992,Basic Instinct,Catherine Tramell,Sharon Stone,"(Critics noted that Catherine had been straightwashed in the 2006 sequel, Basic Instinct 2.)","France, United States, United Kingdom",Bisexual
2012,Celeste and Jesse Forever,Dr. Beth Garner,Jeanne Tripplehorn,,United States,Bisexual
1993,Fight Back to School III,Judy Tong Wong,Anita Mui,"Judy is the dead man's wife. She has a girlfriend on the side, Ching Man Ching.",Hong Kong,Bisexual
1993,Six Degrees of Separation,Rick,Eric Thal,,United States,Bisexual
1993,Three of Hearts,Ellen Armstrong,Sherilyn Fenn,Armstrong is Connie's former lover.,United States,Bisexual
1994,Interview with the Vampire,Louis de Pointe du Lac,Brad Pitt,Pointe du Lac and Lioncourt are vampires.,United States,Bisexual
2012,Ginger & Rosa,Lestat de Lioncourt,Tom Cruise,,"United Kingdom, Denmark, Canada",Bisexual
1995,Bugis Street,Meng,Michael Lam,"Lola is one of the prostitutes inhabiting the Sin Sin Hotel on Bugis Street.
Meng, the boyfriend of Lola, seduces Lin (a young female chambermaid and desk clerk at the hotel).",British Hong Kong,Bisexual
2012,On the Road,Tall thin salesman,Steve Buscemi,,Singapore,Bisexual
1995,Carrington,Roger Senhouse,Sebastian Harcombe,"Roger becomes Lytton's sadomasochistic lover.
Lytton was a founding member of the Bloomsbury Group. His homosexuality, as depicted in the film, was well known.",France,Bisexual
2012,The Perks of Being a Wallflower,Brad,Johnny Simmons,,United Kingdom,Bisexual
1995,The Doom Generation,"Xavier ""X"" Red",Johnathon Schaech,"Xavier, a handsome drifter, is picked-up by teen lovers Jordan and Amy on their way back from a club. After Xavier accidentally kills a store owner, he has sex with Amy, while Jordan becomes sexually attracted to him as well.",United States,Bisexual
2012,Rock of Ages,Jordan White,James Duval,,United States,Bisexual
1995,Showgirls,Cristal Connors,Gina Gershon,"Cristal, who has a boyfriend, wants a relationship with Nomi so she can destroy her. (One reviewer wrote that bisexuality is ""a weapon, a plot device and an arena for titillating spectacle"" like in Basic Instinct.)",France,Bisexual
2012,Sassy Pants,Nomi Malone,Elizabeth Berkley,,United States,Bisexual
1995,Total Eclipse,Paul Verlaine,David Thewlis,"The film presents a historical account of the passionate and violent relationship between 19th-century French poets Arthur Rimbaud and Paul Verlaine, at a time of soaring creativity for both men.",United Kingdom,Bisexual
2012,Speechless,Luke,Pierre-Matthieu Vital,,France,Bisexual
2012,Struck by Lightning,Nicholas Forbes,Carter Jenkins,,Belgium,Bisexual
2012,Struck by Lightning,Scott Thomas,Graham Rogers,,Italy,Bisexual
2012,Ted,Guy,Patrick Warburton,,United States,Bisexual
1995,Wild Side,Virginia,Joan Chen,Virginia is Bruno's wife.,"United Kingdom, United States",Bisexual
1996,Bound,Violet,Jennifer Tilly,"Violet, who longs to escape her relationship with her mafioso boyfriend Caesar, enters into a clandestine affair with alluring ex-con Corky, and the two women hatch a scheme to steal $2 million of Mafia money.",United States,Bisexual
1996,Female Perversions,Eve Stephens,Tilda Swinton,Stephens is a Los Angeles trial attorney.,"United States, Germany",Bisexual
1996,Mongkok Story,Lui Lone,Anthony Wong,,Hong Kong,Bisexual
1996,The Pillow Book,Jerome,Ewan McGregor,Jerome is a British translator.,"Netherlands, United Kingdom, France, Luxembourg",Bisexual
1997,L.A. Confidential,Matt Reynolds,Simon Baker Denny,,United States,Bisexual
1997,Midnight in the Garden of Good and Evil,Billy Hansford,Jude Law,"Billy is an American shooting victim who was killed by his employer,",United States,Bisexual
1997,Nowhere,Mel,Rachel True,Dark and Mel are a couple in an open relationship.,United States,Bisexual
2013,G.B.F.,Dark,James Duval,,United States,Bisexual
1998,Bedrooms and Hallways,Leo,Kevin McKidd,,United Kingdom,Bisexual
1998,Dark Harbor,David Weinberg,Alan Rickman,David and the young man are lovers.,United States,Bisexual
1998,High Art,"Sydney ""Syd""",Radha Mitchell,"Syd, living with longtime boyfriend James, has desires and frustrations that seem typical and manageable but new events unfold, with Lucy Berliner opening the door to an uncharted world for Syd. Lucy, who lives with her heroin-addicted German girlfriend Greta, and becomes closer to Syd as the film moves forward.",United States,Bisexual
1998,Hold You Tight,Fung Wai,Sunny Chan,"The story of a man living in Hong Kong who is initially drawn to a young woman, but soon finds he is more attracted to her boyfriend.",Hong Kong,Bisexual
1998,Velvet Goldmine,Brian Slade,Jonathan Rhys Meyers,"At the beginning of his career, Slade is married to Mandy. But when he comes to the United States, he seeks out American rock star Curt Wild, and they become involved in each other's lives on a personal and creative level.","United Kingdom, United States",Bisexual
2013,The Mortal Instruments: City of Bones,Arthur Stuart,Christian Bale,,"Canada, Germany, United States, United Kingdom",Bisexual
2013,Philomena,Curt Wild,Ewan McGregor,,"France, United Kingdom, United States",Bisexual
2013,Pit Stop,Mandy Slade,Toni Collette,,United States,Bisexual
1999,All About My Mother,Nina Cruz,Candela Peña,"Nina is the lover of an actress named Huma, but later runs off.",Spain,Bisexual
1999,Being John Malkovich,Maxine Lund,Catherine Keener,"At first Maxine is specifically attracted to Lotte in John's body, and becomes pregnant when she and Lotte (in John's body) have sex.",United States,Bisexual
1999,"Girl, Interrupted",Lisa Rowe,Angelina Jolie,Lisa share a kiss with Susanna while high on drugs.,United States,Bisexual
1999,The Haunting,Theodora,Catherine Zeta-Jones,Theodora mentions having both a boyfriend and a girlfriend.,United States,Bisexual
1999,Summer of Sam,Ritchie,Adrien Brody,"Ritchie is volatile. He is Vinny's childhood friend who has embraced punk fashion and music, and begins a relationship with Ruby.",United States,Bisexual
1999,The Talented Mr. Ripley,Tom Ripley,Matt Damon,"Ripley is a career criminal, con artist, and serial killer.",United States,Bisexual
2000,Beat,William S. Burroughs,Kiefer Sutherland,"To his wife's chagrin, William carries on an affair with a male lover.",United States,Bisexual
2000,Before Night Falls,Pepe Malas,Andrea Di Stefano,Pepe is in a relationship with Reinaldo before leaving him to pursue a woman.,United States,Bisexual
2000,Wonder Boys,"Terry ""Crabs"" Crabtree",Robert Downey Jr.,Crabs is Grady's editor.,United States,Bisexual
2014,Futuro Beach,Donato,Wagner Moura,,United Kingdom,Bisexual
2014,Futuro Beach,Konrad,Clemens Schick,,Germany,Bisexual
2014,The Imitation Game,Alan Turing,"Benedict Cumberbatch (adult)
Alex Lawther (young)",,Japan,Bisexual
2001,Blow Dry,Shelley Allen,Natasha Richardson,Shelley Allen operates a hairdressing shop in Keighley with her lesbian domestic partner Sandra.,United States,Bisexual
2014,Jongens,Marc,Ko Zandvliet,,United Kingdom,Bisexual
2014,Jongens,Sieger,Gijs Blom,,Germany,Bisexual
2001,Bungee Jumping of Their Own,Seo In-woo,Lee Byung-hun,"Seo falls passionately in love with Tae-hee within moments of first meeting her. They begin dating but she is suddenly killed in a car crash. Almost 20 years later he is a high school teacher, married and with a daughter. One day he spots a male student, Im Hyun-bin, who looks almost identical to Tae-hee. He falls in love with Im, even though he feels uncomfortable doing so, and they are soon bullied and taunted by the school's students. Seo realises that Im is the reincarnation of Tae-hee.",South Korea,Bisexual
2001,Ichi the Killer,Kakihara,Tadanobu Asano,"Kakihara is a sadomasochist with an unnatural passion. He prefers mostly males over females for engaging in S&M. He inflicts pain on himself for pleasure and has no interest in sexuality, but is willing to become lovers with anyone who satisfies his pleasure. (Based on Hideo Yamamoto's manga of the same name.)",Japan,Bisexual
2001,Iris,Iris Murdoch,"Judi Dench (adult Iris)
Kate Winslet (young Iris)",Iris has love affairs with men and women.,"United Kingdom, United States",Bisexual
2001,Julie Johnson,Julie Johnson,Lili Taylor,Julie is a housewife who leaves her abusive husband and meets Claire. They live together and begin a romantic relationship.,United States,Bisexual
2014,Obvious Child,Claire,Courtney Love,,United States,Bisexual
2001,Kissing Jessica Stein,Helen Cooper,Heather Juergensen,Cooper works at an art gallery.,United States,Bisexual
2001,Mulholland Drive,Camilla Rhodes,Laura Harring,"Rhodes is a ""bisexual vixen"" and a driving force of the film.",United States,Bisexual
2001,Piñero,Miguel Piñero,Benjamin Bratt,,United States,Bisexual
2001,The Royal Tenenbaums,Margot Tennenbaum,Gwyneth Paltrow,"Margot, who had a previous relationship with a woman, follows three siblings who were talented when they were children but ""grow up into disappointments.""",United States,Bisexual
2001,Shake It All About,Jacob,Mads Mikkelsen,"Jacob asks Jørgen to marry him, and he happily accepts. However, Jacob falls in love with another woman.",Denmark,Bisexual
2001,Y tu mamá también,Tenoch Iturbide,Diego Luna,"Iturbide and Zapata are ""two teenage best friends"".",Mexico,Bisexual
2014,Pride,Julio Zapata,Gael García Bernal,,United Kingdom,Bisexual
2002,The Hours,Clarissa Vaughan,Meryl Streep,"Clarissa is in a long-term relationship with her lesbian partner Sally, which is seemingly threatened when she pines for ""a long-lost romance with Richard.""",United Kingdom,Bisexual
2014,Pride,Virginia Woolf,Nicole Kidman,,United States,Bisexual
2002,May,May Dove Canady,Angela Bettis,May is a veterinary assistant.,United States,Bisexual
2002,The Rules of Attraction,Paul Denton,Ian Somerhalder,"Paul is the boyfriend of Laura and he's attracted to Sean. He tries to go out with him, but fails.",Germany,Bisexual
2014,Space Station 76,Captain Glenn Terry,Patrick Wilson,,United States,Bisexual
2003,Party Monster,Keoki,Wilmer Valderrama,Keoki is an electronic musician and DJ.,United States,Bisexual
2003,SpiderBabe,Patricia Porker,Erin Brown,"Patricia is bitten by a spider, develops superhuman powers, and nymphomaniac urges. She has sex with several males and females.",United States,Bisexual
2004,The 24th Day,Tom,Scott Speedman,"Tom has been diagnosed with HIV and believes he infected his late wife with the AIDS virus. He had only one sexual encounter with a man, Dan, and thinks that it was he who transmitted the disease to him. Tom kidnaps Dan with the intent to kill him.",United States,Bisexual
2004,Alexander,Alexander,Colin Farrell,"Alexander has relationships with childhood friends Hephaistion and Bagoas; and later with his wife Roxana. Alexander has an ambiguous sexuality, with director Oliver Stone saying Alexander had ""a polymorphous sensuality and was an explorer in the deepest sense of the world.""",Germany,Bisexual
2015,4th Man Out,Adam,Evan Todd,,France,Bisexual
2015,American Ultra,Petey Douglas,Tony Hale,,Italy,Bisexual
2015,Burnt,Tony Balerdi,Daniel Brühl,,Netherlands,Bisexual
2015,Entourage,Lloyd Lee,Rex Lee,,United Kingdom,Bisexual
2015,Get Hard,Chris,T. J. Jagodowski,,United States,Bisexual
2004,D.E.B.S,Amy Bradshaw,Sara Foster,Bradshaw dreams of attending art school despite being the academy's top recruit.,United States,Bisexual
2004,De-Lovely,Cole Porter,Kevin Kline,The film is about the life and career of Cole Porter.,United States,Bisexual
2004,Dodgeball: A True Underdog Story,Kate Veatch,Christine Taylor,"It is not until the film is ending that Kate mentions she has a girlfriend named Joyce, who has come to watch her play (Kate has not previously been shown as being attracted to women). One teammate then says to the other: ""I told you she was a lesbian"", to which Kate replies ""Hey! I'm not a lesbian! No. I'm bisexual."" Then she kisses one of the men.",United States,Bisexual
2004,Grande École,Paul,Gregori Baquet,"Paul has a girlfriend but sleeps with one of his new male roommates.
Mécir, a young Arab manual worker, becomes attracted to Paul.",France,Bisexual
2015,Holy Mess,Mécir,Salim Kechiouche,,Sweden,Bisexual
2004,Kinsey,Alfred Kinsey,Liam Neeson,"Kinsey is a pioneer in the area of sexology, including sexual orientation.",United States,Bisexual
2004,The Life Aquatic with Steve Zissou,Alistair Hennessey,Jeff Goldblum,Hennessey is Eleanor's ex-husband and Zissou's nemesis.,United States,Bisexual
2004,My Summer of Love,Mona,Natalie Press,The film explores the romantic relationship between two young women from different classes and backgrounds.,United Kingdom,Bisexual
2004,Stage Beauty,Ned Kynaston,Billy Crudup,"Kynaston is one of the leading actors of his day, particularly famous for his portrayal of female characters. Having gone through a long and strenuous training to play female roles, he finds himself without a guise by which to keep the attention of his lover Villiers, the Duke of Buckingham",Germany,Bisexual
2015,Those People,Charlie,Jonathan Gordon,,United Kingdom,Bisexual
2015,Those People,Sebastian,Jason Ralph,,United States,Bisexual
2004,Star Appeal,E.T.,Guifeng Wang,"E.T., a young man from the planet Mars, arrives on Earth totally naked. He befriends Xiao Bo, who removes his own clothes to make E.T. feel more comfortable, and teaches him languages, science and a range of other subjects. The two become close and eventually fall in love. E.T. later falls in love with Xiao Bo's girlfriend, and they attempt to have a baby.",China,Bisexual
2015,Wild Horses,Xiao Bo,Yu Bo,,United States,Bisexual
2005,Brokeback Mountain,Ennis Del Mar,Heath Ledger,"Ennis and Jack are in love with each other, but they also have loving and sexual relations with their wives.",United States,Bisexual
2016,As You Are,Jack Twist,Jake Gyllenhaal,,United States,Bisexual
2005,Cold Showers,Mickael,Johan Libéreau,"Teenagers Mickael and Clément are fellow students and teammates. They engage in a ménage à trois with Vanessa, Mickael's girlfriend, resulting in the boys becoming attracted to each other.",France,Bisexual
2016,Being 17,Clément,Pierre Perrier,,France,Bisexual
2005,The Dying Gaul,Jeffrey Tishop,Campbell Scott,Tishop is a studio executive.,United States,Bisexual
2005,Imagine Me & You,Rachel,Piper Perabo,Rachel is Hector's fiancée who falls in love with flower shop owner Luce.,Germany,Bisexual
2016,Center of My World,Phil,Louis Hofmann,,United Kingdom,Bisexual
2005,My Fair Son,Xiao Bo,Yu Bo,Bo is one of Ray's father's employees.,China,Bisexual
2005,Rent,Maureen Johnson,Idina Menzel,Johnson is Mark's ex-girlfriend.,United States,Bisexual
2005,Transamerica,Toby,Kevin Zegers,Toby is a 17-year-old jailed in New York City.,United States,Bisexual
2005,Where the Truth Lies,Vince Collins,Colin Firth,"Collins, Morris and Maureen had engaged in a ménage à trois fueled by drugs and alcohol. At some point Collins tried to have sex with Morris, who resisted violently.",Canada,Bisexual
2016,Handsome Devil,Conor Masters,Nicholas Galitzine,,United Kingdom,Bisexual
2006,The Black Dahlia,Madeleine Linscott,Hilary Swank,Madeleine is a coolly elegant heiress.,"United States, France, Germany",Bisexual
2006,The History Boys,Stuart Dakin,Dominic Cooper,Based on the play of the same name.,United Kingdom,Bisexual
2007,After Sex,Nikki,Mila Kunis,Nikki has oral sex with Kat because it feels better than when males do it.,United States,Bisexual
2007,Love Songs,Ismaël Benoliel,Louis Garrel,"Ismaël, Julie, and Alice are in a ménage-à-trois. After a tragedy strikes and breaks them apart, the characters learn to deal with loss and mourning. Ismaël unexpectedly finds love again with a young man named Erwann.",France,Bisexual
2016,It's Only the End of the World,Julie Pommeraye,Ludivigne Sagnier,,"Canada, France",Bisexual
2016,King Cobra,Alice,Clotilde Hesme,,United States,Bisexual
2007,Planet Terror,Dakota Block,Marley Shelton,Dakota is William's anesthesiologist wife.,United States,Bisexual
2007,Pleasure Factory,Jonathan,Loo Zihan,The film is set in Singapore's red-light district. Jonathan has sexual relationships with both men and women.,"Hong Kong, Singapore, Thailand",Bisexual
2007,Shelter,Zach,Trevor Wright,"Zach is an aspiring young artist living in San Pedro, California.",United States,Bisexual
2007,Steam,Niala,Reshma Shetty,Niala spends a night with her classmate Elizabeth.,United States,Bisexual
2008,City Without Baseball,Ronnie,Ron Heung,"In a story set in the 1990s, Ronnie, a pitcher with Hong Kong's National Baseball Team, has a steady girlfriend and appears well settled-in. But over time, he becomes increasingly attracted to one of his colleagues, and summons up the courage to kiss him in the men's changing rooms. The actors, including the protagonist, were real-life members of the National Baseball Team at the time of filming. Based on a real story, the film is the first feature produced by the award-winning Chinese LGBT filmmaker known as 'Scud'.",Hong Kong,Bisexual
2008,The Mysteries of Pittsburgh,Cleveland Arning,Peter Sarsgaard,"In the novel, Cleveland is entirely heterosexual, but in adapting the film, he became merged with the homosexual character Arthur Lecomte, one of the novel's key love interests.",United States,Bisexual
2008,Vicky Cristina Barcelona,María Elena,Penélope Cruz,María is Juan's mentally and emotionally unstable ex-wife.,Spain,Bisexual
2016,Neighbors 2: Sorority Rising,Pete Regazolli,Dave Franco,,United States,Bisexual
2009,Chloe,Chloe Sweeney,Amanda Seyfried,Sweeney is a call girl.,"Canada, France, United States",Bisexual
2009,Everybody's Fine,Rosie Goode,Drew Barrymore,Rosie hides her sexuality from her father.,United States,Bisexual
2009,"I Love You, Beth Cooper",Rich Munsch,Jack Carpenter,Munsch is Rich's best friend.,United States,Bisexual
2009,Jennifer's Body,Jennifer Check,Megan Fox,,United States,Bisexual
2016,Rage,"Anita ""Needy"" Lesnicki",Amanda Seyfried,,Japan,Bisexual
2009,Permanent Residence,Windson,Osman Hung,"Ivan seeks a long-term relationship with a straight friend. Befriending another young man, Windson, at a public sports club, the two build up a friendly rapport. However, Windson becomes aware of his inclination, and while happy to remain his friend, is initially very reluctant to become emotionally involved with him.
This is the first feature film directed by award-winning Chinese LGBT filmmaker known as 'Scud'.",Hong Kong,Bisexual
2009,Undertow,Miguel,Cristian Mercado,"Miguel is married to Mariela, who is pregnant with their first son, but he also has a secret affair with a male painter called Santiago.",Peru,Bisexual
2016,Tallulah,Andreas,Zachary Quinto,,Colombia,Bisexual
2016,Tallulah,Stephen Mooney,John Benjamin Hickey,,France,Bisexual
2016,Two Is a Family,Bernie,Antoine Bertrand,,Germany,Bisexual
2010,All About Love,Anita,Vivian Chow,Anita and Macy had been lovers in the past and meet again years later in a counseling session for expectant mothers.,Hong Kong,Bisexual
2017,Alien: Covenant,Macy,Sandra Ng,,"United Kingdom, United States",Bisexual
2010,Amphetamine,Kafka,Byron Pang,"Daniel, an openly-gay wealthy Chinese-Australian investment banker working in Hong Kong meets and befriends Kafka, a young swimming instructor from a poor local family, who has strong religious beliefs. Kafka was sexually assaulted as a teenager by a male gang after successfully defending a young woman from being raped, and as a result, he has become impotent and a habitual user of recreational drugs. Although initially uncomfortable with Daniel's obvious sexual attraction to him, he soon sees Daniel as offering him new hope in life, and he falls deeply in love with him. But Kafka's life begins to fall apart again when his mother dies suddenly, and he attempts to end his life.",Hong Kong,Bisexual
2010,Black Swan,Nina Sayers / White Swan / Odette,Natalie Portman,Nina is a young committed dancer.,United States,Bisexual
2010,Howl,Neal Cassady,Jon Prescott,Cassady is a major figure of the Beat Generation of the 1950s.,United States,Bisexual
2010,Kaboom,Hunter,Jason Olive,,United States,Bisexual
2017,God's Own Country,Rex,Andy Fischer-Price,,United Kingdom,Bisexual
2017,Lady Bird,Smith,Thomas Dekker,,United States,Bisexual
2010,The Kids Are All Right,Jules Allgood,Julianne Moore,"Jules used the same sperm donor used by her lesbian spouse Nicole to conceive a child. Their teenage son wants to find out about his biological father and his older sister helps him find the contact information, which leads to an unexpected upheaval in their marriage when Jules meets the father.",United States,Bisexual
2010,Scott Pilgrim vs. the World,Ramona Flowers,Mary Elizabeth Winstead,"Ramona describes her relationship with Richter as her being ""bi-curious"". Besides her lesbian ex-girlfriend, Ramona has six ex-boyfriends.
Wallace hooked up with Stacey's boyfriend Jimmy.",United Kingdom,Bisexual
2017,Permission,Jimmy,Kjartan Hewitt,,United States,Bisexual
2017,Rift,Einar,Sigurdur Thor Oskarsson,,Japan,Bisexual
2011,Butter,Brooke,Olivia Wilde,Brooke is a stripper.,United States,Bisexual
2011,Love Actually... Sucks!,Bridegroom,Jackie Chow,"Inspired by real-life events, the film tells a series of interconnected stories, several with LGBT relationships. The opening wedding banquet reveals a sex affair between the bridegroom and a bridesman. Other stories include a married painter who falls in love with his young male life model, a dance school teacher who becomes involved with his senior student, and a role-playing lesbian couple.",Hong Kong,Bisexual
2011,North Sea Texas,Gino,Mathias Vergels,"Pim falls in love with his best friend, Gino.",Belgium,Bisexual
2011,Our Idiot Brother,"Natalie ""Nat"" Rochlin",Zooey Deschanel,Natalie is a hipster living with her girlfriend Cindy.,United States,Bisexual
2011,Tinker Tailor Soldier Spy,Bill Haydon,Colin Firth,Bill is a senior officer in the British Secret Intelligence Service.,United Kingdom,Bisexual
