Year,Title,Character(s),Actor,Notes,Country,Ref(s)
2013,Tom at the Farm,Tom Podowski,Xavier Dolan,"Tom travels to an isolated farm for his lover's funeral where he's quickly drawn into a twisted, sexually charged game by his lover's aggressive brother, Francis.",Canada,[501]
2013,Voyage,Ryo,Ryo van Kooten,"Filmed across Asia and Europe, the story follows the journey of Ryo, a young Hong Kong psychiatrist, who is accompanied by his male lover as he visits former patients in neighbouring countries of South East Asia. Several of his clients are themselves in LGBT relationships. (The film features frequent full-frontal male nudity.)",Hong Kong,[502]
2013,Voyage,Jip,Jason Poon,,Hong Kong,[502]
2014,Blackbird,Randy Rousseau,Julian Walker,,United States,[503]
2014,Boulevard,Nolan Mack,Robin Williams,,United States,[504]
2014,Dear White People,Lionel Higgins,Tyler James Williams,,United States,[505][506]
2014,Futuro Beach,Donato,Wagner Moura,,"Brazil, Germany",[507]
2014,Futuro Beach,Konrad,Clemens Schick,,"Brazil, Germany",[507]
2014,The Imitation Game,Alan Turing,"Benedict Cumberbatch (adult)
Alex Lawther (young)","Biopic about Turing, who deciphered the code of the Enigma machine, a device used by Nazi Germany during World War II. After the end of the war, he is convicted of indecency because of his homosexuality, undergoes chemical castration, and later commits suicide.
The young Turing was close to his classmate Christopher Morcom, and they passed written encoded notes to each other. Their friendship ends when Christopher dies from bovine tuberculosis. Turing names the Enigma-breaking machine ""Christopher"" after him.",United States,[508]
2014,The Imitation Game,Christopher Morcom,Jack Bannon,,United States,[508]
2014,Jongens,Marc,Ko Zandvliet,,Netherlands,[509]
2014,Jongens,Sieger,Gijs Blom,,Netherlands,[509]
2014,Lilting,Kai,Andrew Leung,The film tells the story of a mother's attempt at understanding who her son was after his untimely death. Her world is suddenly disrupted by the presence of his lover.,United Kingdom,[510]
2014,Lilting,Richard,Ben Whishaw,,United Kingdom,[510]
2014,Love Is Strange,George Garea,Alfred Molina,"Ben and George, a couple from Manhattan, get married after 39 years together.","United States, France",[511]
2014,Love Is Strange,Ben Hull,John Lithgow,,"United States, France",[511]
2014,Obvious Child,Joey,Gabe Liedman,,United States,[512]
2014,Pride,Mark Ashton,Ben Schnetzer,,United Kingdom,[513][514][515]
2014,Pride,Mike Jackson,Joe Gilgun,,United Kingdom,[513][514][515]
2014,Pride,Jonathan Blake,Dominic West,,United Kingdom,[513][514][515]
2014,Pride,Gethin Roberts,Andrew Scott,,United Kingdom,[513][514][515]
2014,Pride,Jeff Cole,Freddie Fox,,United Kingdom,[513][514][515]
2014,Pride,Reggie,Chris Overton,,United Kingdom,[513][514][515]
2014,Pride,Ray,Joshua Hill,,United Kingdom,[513][514][515]
2014,Pride,"Joe ""Bromley"" Cooper",George Mackay,,United Kingdom,[513][514][515]
2014,Pride,Cliff Barry,Bill Nighy,,United Kingdom,[513][514][515]
2014,Pride,Tim,Russel Tovey,,United Kingdom,[513][514][515]
2014,The Skeleton Twins,Milo Dean,Bill Hader,"Milo reconnects with his high school English teacher Rich, with whom he had a sexual relationship when he was 15.",United States,[516]
2014,Space Station 76,Captain Glenn Terry,Patrick Wilson,,United States,[517]
2014,Space Station 76,Daniel,Matthew Morrison,,United States,[517]
2014,The Way He Looks,Leonardo,Ghilherme Lobo,"Leonardo is a blind high school student who falls in love with the new kid, Gabriel.
Gabriel falls in love with Leo. He was once aroused when he saw Leo naked in the showers.",Brazil,[518]
2014,The Way He Looks,Gabriel,Fabio Audi,,Brazil,[518]
2014,White Bird in a Blizzard,Mickey,Mark Indelicato,,"France, United States",[519]
2015,4th Man Out,Adam,Evan Todd,Adam struggles to come out as gay to his three best friends.,United States,[520]
2015,American Ultra,Petey Douglas,Tony Hale,,United States,[521]
2015,Burnt,Tony Balerdi,Daniel Brühl,Tony is a restaurant owner who's in love with Adam.,United States,[522]
2015,Entourage,Lloyd Lee,Rex Lee,"Lloyd gets married to Greg Louganis. His former boss, Ari, gives him away at the wedding.",United States,[523]
2015,Get Hard,Chris,T. J. Jagodowski,,United States,[524]
2015,The Heroes of Evil,Aritz,Jorge Clemente,,Spain,[525]
2015,Holding the Man,John Caleo,Craig Stott,,Australia,[526]
2015,Holding the Man,Timothy Conigrave,Ryan Corr,,Australia,[526]
2015,Holy Mess,Oscar,Anton Lundqvist,,Sweden,[527]
2015,Holy Mess,Simon,Anastasios Soulis,,Sweden,[527]
2015,James White,Nick,Scott Mescudi,,United States,[528]
2015,Legend,Ronnie Kray,Tom Hardy,,"United Kingdom, United States",[529]
2015,Legend,Teddy Smith,Taron Egerton,,"United Kingdom, United States",[529]
2015,Stonewall,Danny Winters,Jeremy Irvine,,United States,[530]
2015,Those People,Charlie,Jonathan Gordon,"Charlie has always been in love with his best friend Sebastian. Both of them are too afraid to admit their love for each other. But after some life changing events happen in their lives, they try to figure out what their relationship really is.",United States,[531]
2015,Those People,Sebastian,Jason Ralph,,United States,[531]
2015,Utopians,Antonio Ming,Jackie Chow,"Ming is the professor of Hins Gao, and later begins a romantic relationship with him.",Hong Kong,[532]
2015,Wild Horses,Ben Briggs,James Franco,Ben is kicked out of the house by his father for being gay.,United States,[533]
2016,Absolutely Fabulous: The Movie,Himself,Graham Norton,,"United Kingdom, United States",[534]
2016,As You Are,Jack,Owen Campbell,,United States,[535]
2016,As You Are,Mark,Charlie Heaton,,United States,[535]
2016,Being 17,Damien Delille,Klein,"The movie follows the romantic and sexual awakening of Damien and Thomas as their initial animosity, expressed in violence, morphs into love.",France,[536]
2016,Being 17,Thomas Chardoul,Corentin Fila,,France,[536]
2016,Cell,"Thomas ""Tom"" McCourt",Samuel L. Jackson,,United States,[537][538]
2016,Center of My World,Phil,Louis Hofmann,,Germany,[539]
2016,Center of My World,Nicholas,Jannik Schümann,,Germany,[539]
2016,Curmudgeons,Jackie,Danny DeVito,,United States,[540]
2016,Curmudgeons,Ralph Pajovic,David Margulies,,United States,[540]
2016,Dirty Grandpa,Bradley,Jeffrey Bowyer-Chapman,,United States,[541]
2016,Handsome Devil,Conor Masters,Nicholas Galitzine,,Ireland,[542]
2016,Handsome Devil,Dan Sherry,Andrew Scott,,Ireland,[542]
2016,Heartstone,Kristján,Blær Hinriksson,,Iceland,[543]
2016,Independence Day: Resurgence,Dr. Brackish Okun,Brent Spiner,Dr. Okun is a Scientist. Dr. Isaacs is his co-worker and lover.,United States,[544]
2016,Independence Day: Resurgence,Dr. Isaacs,John Storey,,United States,[544]
2016,It's Only the End of the World,Louis,Gaspard Ulliel,Louis is a playwright dealing with a terminal illness.,"Canada, France",[545]
2016,King Cobra,Brent Corrigan,Garrett Clayton,,United States,[546]
2016,King Cobra,Harlow Cuadra,Keegan Allen,,United States,[546]
2016,King Cobra,Joe Kerekes,James Franco,,United States,[546]
2016,King Cobra,Bryan Kocis,Christian Slater,,United States,[546]
2016,King Cobra,Mikey,Spencer Lofranco,,United States,[546]
2016,Miss Stevens,Sam,Anthony Quintal,,United States,[547]
2016,The Mobfathers,Wulf,Gregory Wong,,Hong Kong,[548][better source needed]
2016,Moonlight,"Chiron Harris (""Little"" / ""Black"")",Alex Hibbert,,United States,[549]
2016,Neighbors 2: Sorority Rising,Pete Regazolli,Dave Franco,,United States,[550]
2016,Nocturnal Animals,Carlos Holt,Michael Sheen,,United States,[551]
2016,Other People,David Mulcahey,Jesse Plemons,"David has a strained relationship with his father, who still refuses to accept David's sexuality ten years after he came out. He has broken up with his boyfriend Paul.",United States,[552]
2016,Other People,Paul,Zach Woods,,United States,[552]
2016,Rage,Yūma Fujita,Satoshi Tsumabuki,,Japan,[553]
2016,Rage,Sieger,Gijs Blom,,Japan,[553]
2016,Raw,Adrien,Rabah Naït Oufella,,"France, Belgium",[554]
2016,Spa Night,David,Joe Seo,,United States,[555][556]
2016,Tallulah,Andreas,Zachary Quinto,,United States,[557]
2016,Tallulah,Stephen Mooney,John Benjamin Hickey,,United States,[557]
2016,Two Is a Family,Bernie,Antoine Bertrand,,France,[558]
2017,Alien: Covenant,Carl Lope,Demián Bichir,,"United Kingdom, United States",[559]
2017,Alien: Covenant,Hallett,Nathaniel Dean,,"United Kingdom, United States",[559]
2017,Battle of the Sexes,Ted Tinling,Alan Cumming,Biopic based on champion tennis player Billie Jean King and the 1973 match between her and Bobby Riggs.,"United Kingdom, United States",[560][561][562]
2017,Beach Rats,Frankie,Harris Dickinson,Frankie is a repressed Brooklyn teen who has sex with older men.,United States,[563]
2017,Beauty and the Beast,LeFou,Josh Gad,LeFou is Gaston's sidekick.,United States,[564][565][566]
2017,God's Own Country,Gheorghe Ionescu,Alec Secareanu,,United Kingdom,[567]
2017,God's Own Country,Johnny Saxby,Josh O'Connor,,United Kingdom,[567]
2017,Lady Bird,Danny O'Neill,Lucas Hedges,,United States,[568]
2017,My Friend Dahmer,Jeffrey Dahmer,Ross Lynch,Based on the serial killer's early life.Dahmer has shown to be obsessed with a male jogger.,United States,[569]
2017,Permission,Hale,David Joseph Craig,,United States,[570]
2017,Permission,Reece,Morgan Spector,,United States,[570]
2017,Rift,Einar,Sigurdur Thor Oskarsson,,Iceland,[571]
2017,Rift,Gunnar,Bjorn Stefansson,,Iceland,[571]
2017,The Shape of Water,Giles,Richard Jenkins,"Elisa's next door neighbor is closeted and fearful, but bravely helps her and the Amphibian Man.",United States,[572]
2017,Speech & Debate,Howie,Austin P. McKenzie,,United States,[573]
2017,Thirty Years of Adonis,Yang Ke,Adonis He Fei,,"Hong Kong, Taiwan, China",[574]
2017,Tom of Finland,Touko Laaksonen,Pekka Strang,Laaksonen is an artist who known for his stylized highly masculinized homoerotic art.,"Finland, Sweden, Denmark, Germany, United States",[575][576]
2018,Alex Strangelove,Alex Truelove,Daniel Doheny,,United States,[577]
2018,Alex Strangelove,Elliott,Antonio Marziale,,United States,[577]
2018,Bird Box,Greg,BD Wong,,United States,[578]
2018,Bohemian Rhapsody,Jim Hutton,Aaron McCusker,"The film tells the story of the life of Freddie Mercury, the lead singer of British rock band Queen, from the formation of the band in 1970 up to their 1985 Live Aid performance at the original Wembley Stadium.","United Kingdom, United States",[579][580]
2018,Bohemian Rhapsody,Paul Prenter,Allen Leech,,"United Kingdom, United States",[579][580]
2018,Bohemian Rhapsody,John Reid,Aidan Gillen,,"United Kingdom, United States",[579][580]
2018,Boy Erased,Jared Eamons,Lucas Hedges,Jared's childhood in a fundamentalist family in Arkansas that enrolled him in conversion therapy. (Based on Garrard Conley's memoir of the same name.),United States,[581]
2018,Can You Ever Forgive Me?,Jack Hock,Richard E. Grant,Hock is a foppish drifter who helps Israel forging and selling rare literary letters to bolster her failing writing career.,United States,[582]
2018,Come Sunday,Reggie,Lakeith Stanfield,,United States,[583]
2018,Crazy Rich Asians,Oliver T'sien,Nico Santos,,"United States, Singapore",[584]
2018,The Death & Life of John F. Donovan,John F. Donovan,Kit Harington,Donovan is a closeted actor.,Canada,[585]
2018,"Don't Worry, He Won't Get Far on Foot",Donnie,Jonah Hill,,United States,[586]
2018,"Don't Worry, He Won't Get Far on Foot",Martingale,Ronnie Adrian,,United States,[586]
2018,Giant Little Ones,Ray Winter,Kyle MacLachlan,"Ray leaves his wife for another man, causing his son Franky to refuse to talk to him despite his pleas.",Canada,[587]
2018,Green Book,Don Shirley,Mahershala Ali,Shirley had a homosexual encounter with a white man at a pool.,United States,[588]
2018,The Happy Prince,"Lord Alfred ""Bosie"" Douglas",Colin Morgan,,"Germany, Belgium, Italy, United Kingdom",[589]
2018,The Happy Prince,Robbie Ross,Edwin Thomas,,"Germany, Belgium, Italy, United Kingdom",[589]
2018,The Happy Prince,Reggie Turner,Colin Firth,,"Germany, Belgium, Italy, United Kingdom",[589]
2018,The Happy Prince,Oscar Wilde,Rupert Everett,,"Germany, Belgium, Italy, United Kingdom",[589]
2018,Ideal Home,Erasmus Brumble,Steve Coogan,"Erasmus, a famous chef, and Paul, the producer of his cooking show, are a couple. They live in a large showplace house in New Mexico.",United States,[590]
2018,Ideal Home,Paul Morgan,Paul Rudd,,United States,[590]
2018,"Love, Simon",Simon Spier,Nick Robinson,Based on the novel Simon vs. the Homo Sapiens Agenda.,United States,[591][592][593]
2018,"Love, Simon",Bram Greenfeld,Keiynan Lonsdale,,United States,[591][592][593]
2018,Mary Queen of Scots,Lord Darnley,Jack Lowden,,"United Kingdom, United States",[594]
2018,Mary Queen of Scots,David Rizzio,Ismael Cruz Córdova,,"United Kingdom, United States",[594]
2018,Rainbow's Sunset,Ramoncito Estrella,Eddie Garcia,Ramon who is married to a woman and has children comes out as gay as an elderly man. He has a secret relationship with his long-time friend Fredo who is dying of cancer.,Philippines,[595]
2018,Rainbow's Sunset,Alfredo Veneracion,Tony Mabesa,,Philippines,[595]
2018,School's out,Pierre Hoffman,Laurent Lafitte,Pierre is a substitute teacher who becomes obsessed with his students' strange behavior. He is in love with his male best friend who just had a child. He also has a crush on one of his male colleagues who appears to be straight.,France,[596]
2018,Set It Up,Duncan,Pete Davidson,Duncan is Charlie's roommate.,United States,[597]
2018,To All the Boys I've Loved Before,Lucas Krapf,Trezzo Mahoro,"Lucas is one the crushes that Lara Jean Covey wrote a letter to and then locked away. Kitty, Lara's younger sister, found the letter and sent it to him without Lara's knowledge. After reading it, he told Lara he was gay.",United States,[598]
2018,Truth or Dare,Brad Chang,Hayden Szeto,Brad is closeted.,United States,[599]
2018,You Are the Apple of My Eye,Kazuki Sugimura,Ryosuke Yusa,,Japan,[600]
2019,Booksmart,George,Noah Galvin,George and Alan are theater obsessed classmates of Amy and her best friend Molly.,United States,[601][602]
2019,Booksmart,Alan,Austin Crute,,United States,[601][602]
2019,Frankie,Michel,Pascal Greggory,,"United States, France, Portugal",[603]
2019,The Gentlemen,Fletcher,Hugh Grant,"Fletcher is a fast-talking, cockney-accented hustler.","United Kingdom, United States",[604]
2019,The Good Liar,Steven,Russell Tovey,"Steven does research on Hans, who raped Lili, confirming his identity in a DNA test using a lock of Hans' hair.
It is revealed at the end of the film that Michael is Lili's grandson and Steven's boyfriend.","United Kingdom, United States",[605][606][607]
2019,The Good Liar,Michael,Tunji Kasim,,"United Kingdom, United States",[605][606][607]
2019,Isn't It Romantic,Donny,Brandon Scott Jones,,United States,[608]
2019,Jojo Rabbit,Captain Klenzendorf,Sam Rockwell,"Set in 1945 in Nazi Germany, Klenzendorf and Freddy are in a secret relationship.","United States, New Zealand, Czech Republic",[609][610]
2019,Jojo Rabbit,Freddy Finkel,Alfie Allen,,"United States, New Zealand, Czech Republic",[609][610]
2019,Judy,Dan,Andy Nyman,,United States,[611]
2019,Judy,Stan,Daniel Cerqueira,,United States,[611]
2019,Monsoon,Kit,Henry Golding,"Durin his journey, Kit falls for Lewis, an American whose father had fought in the war.",United States,[612][613][614]
2019,Monsoon,Lewis,Parker Sawyers,,United States,[612][613][614]
2019,The Obituary of Tunde Johnson,Tunde Johnson,Steven Silver,,United States,[615]
2019,Pain and Glory,Salvador Mallo,Antonio Banderas,"The film tells the story of Salvador's childhood in the 60s, when he emigrated with his poor parents to a small village in Valencia. (The story was inspired by director Pedro Almodóvar's personal experience.)",Spain,[616][617]
2019,Rialto,Colm,Tom Vaughan-Lawlor,Colm is a closeted homosexual married to a woman. Jay is a hustler. They enter into an intimate relationship.,"Ireland, United Kingdom",[618][619]
2019,Rialto,Jay,Tom Glynn-Carney,,"Ireland, United Kingdom",[618][619]
2019,Rocketman,Elton John,Taron Egerton,Biopic about the singer-musician's journey dealing with drug addiction and accepting his homosexuality.,"United Kingdom, United States",[620]
2019,Rocketman,John Reid,Richard Madden,,"United Kingdom, United States",[620]
2019,Straight Up,Ryder,James Scully,,United States,[621]
2019,Straight Up,Todd,James Sweeney,,United States,[621]
2019,Suk Suk,Hoi,Ben Yuen,"Despite having families of their own, Hoi and Pak fell in love in their twilight years.",Hong Kong,[622]
2019,Suk Suk,Pak,Tai Bo,,Hong Kong,[622]
2019,What Men Want,Brandon Wallace,Josh Brener,,United States,[623]
2020,The Boys in the Band,Michael,Jim Parsons,Based on the 1968 play of the same name. The film revolves around a group of gay men who gather for a birthday party in New York City.,United States,[624]
2020,The Boys in the Band,Harold,Zachary Quinto,,United States,[624]
2020,The Boys in the Band,Donald,Matt Bomer,,United States,[624]
2020,The Boys in the Band,Larry,Andrew Rannells,,United States,[624]
2020,The Boys in the Band,Cowboy,Charlie Carver,,United States,[624]
2020,The Boys in the Band,Emory,Robin de Jesús,,United States,[624]
2020,The Boys in the Band,Bernard,Michael Benjamin Washington,,United States,[624]
2020,The Boys in the Band,Hank,Tuc Watkins,,United States,[624]
2020,Breaking Fast,Kal,Michael Cassidy,,United States,[625]
2020,Breaking Fast,Mo,Haaz Sleiman,,United States,[625]
2020,Falling,John Peterson,Viggo Mortensen,John lives with his husband Eric in California.,United States,[626][627]
2020,Falling,Eric Peterson,Terry Chen,,United States,[626][627]
2020,Freaky,Josh Detmer,Misha Osherovich,Josh is Millie's best friend.,United States,[628]
2020,Happiest Season,John,Dan Levy,John is Abby's best friend.,United States,[629]
2020,Isa Pang Bahaghari,"Domingo ""Domeng"" delos Reyes",Phillip Salvador,"Long-time friend of Rey, a returning seaman aiming to amend with his estranged wife and children. Domeng, a baklang martir who has unrequited love towards Rey since their teenage years, seeks to help his friend regarding his family issue.",Philippines,[630][631]
2020,Joe Bell,Jadin Bell,Reid Miller,,United States,[632]
2020,"Jump, Darling",Russell,Thomas Duplessie,A rookie drag queen reeling from a break-up.,Canada,[633]
2020,The Old Guard,Yusuf Al-Kaysani / Joe,Marwan Kenzari,"Yusuf is a Saracen who fought against the Crusaders, and Niccolò is a Genovese knight who fought in the Crusades. They are in a romantic relationship.",United States,[634]
2020,The Old Guard,Niccolò di Genova / Nicky,Luca Marinelli,,United States,[634]
2020,The Prom,Barry Glickman,James Corden,Barry is a narcissistic Broadway actor.,United States,[635]
2020,Shubh Mangal Zyada Saavdhan,Kartik Singh,Ayushmann Khurrana,"Kartik is an out young man in love with Aman, who is closeted. It is the first Bollywood feature film to show two men kissing passionately.",India,[636]
2020,Shubh Mangal Zyada Saavdhan,Aman Tripathi,Jitendra Kumar,,India,[636]
2020,Stage Mother,Ricky Metcalf,Eldon Thiele,,United States,[637]
2020,Summer of 85,Alexis Robin,Félix Lefebvre,The intense friendship and romance of teenagers Alexis and David during a summer in Normandy in 1985.,France,[638]
2020,Supernova,Sam,Colin Firth,Sam and Tusker are partners for 20 years and amateur astronomers.,United Kingdom,[639][640]
2020,Supernova,Tusker,Stanley Tucci,,United Kingdom,[639][640]
2020,The Thing About Harry,Sam Baselli,Jake Borelli,"Sam connects with his high school bully Harry, who reveals to him that he is pansexual. Sam begins a romantic relationship with Harry, and they later marry.",United States,[641]
2020,Uncle Frank,Frank Bledsoe,Paul Bettany,"A college professor who has been living with a man named Walid (""Wally"") for over ten years and tries to come out to his family.",United States,[642][643]
2020,Your Name Engraved Herein,Chang Jia-han,Edward Chen Hao-Sen,Chang Jia-han and Wang Po Tea are students who fall in love.,Taiwan,[644][645]
2020,Your Name Engraved Herein,Wang Po Te,Jing-Hua Tseng,,Taiwan,[644][645]
2021,Benediction,Siegfried Sassoon,Peter Capaldi,,United States,[646]
2021,Candyman,Troy Cartwright,Nathan Stewart-Jarrett,"Grady's partner is Troy, Brianna's brother.","United States, Canada",[647]
2021,Candyman,Grady Greenberg,Kyle Kaminsky,,"United States, Canada",[647]
2021,Cruella,Artie,John McCrea,Artie is the first openly gay character in a live-action Disney film.,United States,[648][649]
2021,The Dig,Stuart,Ben Chaplin,,United Kingdom,[650]
2021,Everybody's Talking About Jamie,Jamie New / Mimi Me,Max Harwood,Jamie is a gay boy who wants to be a drag queen.,"United Kingdom, United States",[651]
2021,The French Dispatch,Roebuck Wright,Jeffrey Wright,"Wright is an American author who chose exile in Ennui-sur-Blasé. He became a food writer, and his report here is centered on Lieutenant Nescaffier, the greatest chef of police cuisine.",United States,[652]
2021,Great Freedom,Hans Hoffmann,Franz Rogowski,,"Austria, Germany",[653]
2021,Great Freedom,Viktor Kohl,Georg Friedrich,,"Austria, Germany",[653]
2021,Halloween Kills,Big John,Scott MacArthur,Big John and Little John live together as a couple in Michael Myers' former house.,United States,[654]
2021,Halloween Kills,Little John,Michael McDonald,,United States,[654]
2021,Jungle Cruise,McGregor Houghton,Jack Whitehall,McGregor is the heroine's brother and reluctant assistant. He turned down three engagements with women because of his sexual orientation.,United States,[655]
2021,Licorice Pizza,Joel Wachs,Benny Safdie,Joel is a politician running for Mayor of Los Angeles.,United States,[656]
2021,Moneyboys,Liang Fei,Kai Ko,"The film features the journey of Liang Fei, whose world collapses when he realizes that his family accepts his money but not his homosexuality.","Taiwan, Austria, France, Belgium",[657]
2021,No Time to Die,Q,Ben Whishaw,"When James Bond and Moneypenny arrived at Q's house, Q was setting up a date for himself and another man.","United Kingdom, United States",[658]
2021,Operation Hyacinth,Arek,Hubert Miłkowski,Arek is an informant in the investigation of murdered gay men.,Poland,[659]
2021,The Power of the Dog,Phil Burbank,Benedict Cumberbatch,"Phil is a repressed homosexual, and a charismatic rancher who likes to torment his brother's wife and step-son.","United Kingdom, Australia, United States, Canada, New Zealand",[660]
2021,Single All the Way,Peter,Michael Urie,"Peter asks his best friend Nick to pose as his boyfriend, and they develop feelings for each other.
James is the blind date that Peter's mother sets him up with.",United States,[661][662]
2021,Single All the Way,Nick,Philemon Chambers,,United States,[661][662]
2021,Single All the Way,James,Luke Macfarlane,,United States,[661][662]
2021,Swan Song,Dustin,Michael Urie,,United States,[663]
2021,Swan Song,Pat Pitsenbarger,Udo Kier,,United States,[663]
2021,"Tick, Tick... Boom!",Michael,Robin de Jesús,Michael is Jonathan's best friend.,United States,[664]
2022,Aristotle and Dante Discover the Secrets of the Universe,"Aristotle ""Ari"" Mendoza",Max Pelayo,,United States,[665][666]
2022,Aristotle and Dante Discover the Secrets of the Universe,Dante Quintana,Reese Gonzales,,United States,[665][666]
2022,Badhaai Do,Shardul Thakur,Rajkummar Rao,Shardul enters into a lavender marriage with Suman Singh to escape the pressure from their families.,India,[667][668][669]
2022,The Blackening,Dewayne,Dewayne Perkins,,United States,[670]
2022,Bros,Bobby Lieber,Billy Eichner,,United States,[671]
2022,Bros,Aaron Shepard,Luke Macfarlane,,United States,[671]
2022,Downton Abbey: A New Era,Thomas Barrow,Rob James-Collier,"Uncloseted butler at the manor, he leaves to travel the world with Guy Dexter, a movie star in a film production filmed on the estate.","United Kingdom, United States",[672][673]
2022,Fire Island,Charlie,James Scully,,United States,[674]
2022,Fire Island,Howie,Bowen Yang,,United States,[674]
2022,Fire Island,Noah,Joel Kim Booster,,United States,[674]
2022,Fire Island,Will,Conrad Ricamora,,United States,[674]
2022,The Inspection,Ellis French,Jeremy Pope,,United States,[675]
2022,A Madea Homecoming,"Timothy ""Tim"" Marshall",Brandon Black,,United States,[676]
2022,My Fake Boyfriend,Andrew,Keiynan Lonsdale,,Canada,[677]
2022,My Policeman,Patrick Hazlewood,Rupert Everett,,United States,[678][679]
2022,Punch,Jim,Jordan Oosterhof,,New Zealand,[680]
2022,See How They Run,Mervyn Cocker-Norris,David Oyelowo,Mervyn is a well-known playwright and screenwriter.,"United States, United Kingdom",[681]
2022,Spoiler Alert,Michael Ausiello,Jim Parsons,,United States,[682][683][684]
2022,Spoiler Alert,Kit Cowan,Ben Aldridge,,United States,[682][683][684]
2022,Three Months,Caleb,Troye Sivan,,United States,[685]
2022,Two And One,Tino,Miggy Jimenez,"Tino and Chan are both ""tops"" and sexually incompatible. They agree to find a ""bottom"" to have a threesome with, and meet Joaquin.",Philippines,[686]
2022,Two And One,Chan,Paolo Pangilinan,,Philippines,[686]
2022,Two And One,Joaquin,Cedrick Juan,,Philippines,[686]
2022,The Whale,Charlie,Brendan Fraser,"Charlie left his family for a man, who later died. He then went on to binge eat out of pain and guilt.","United Kingdom, United States",[687]
2022,Winter Boy,Lucas,Paul Kircher,,France,[688]
2023,All of Us Strangers,Adam,Andrew Scott,"Adam and Harry are neighbors in a modern London apartment tower, who develop a romantic relationship.",United Kingdom,[689]
2023,All of Us Strangers,Harry,Paul Mescal,,United Kingdom,[689]
2023,American Fiction,"Clifford ""Cliff"" Ellison",Sterling K. Brown,,United States,[690]
2023,Asteroid City,Conrad Earp,Edward Norton,Earp and Hall are lovers.,United States,[691]
2023,Asteroid City,Jones Hall,Jason Schwartzman,,United States,[691]
2023,Broken Heart's Trip,TBA,Christian Bables,Plays as a host for a reality television show with five other LGBT contestants,Philippines,[692]
2023,Cassandro,Cassandro,Gael García Bernal,Cassandro is a wrestler.,United States,[693][694]
2023,The Critic,Jimmy Erskine,Ian McKellen,,United Kingdom,[695]
2023,Dicks: The Musical,Harris,Nathan Lane,,United States,[696]
2023,Down Low,Gary,Zachary Quinto,,United States,[697]
2023,Fairyland,Steve Abbott,Scoot McNairy,,United States,[698]
2023,Femme,Jules,Nathan Stewart-Jarrett,Jules is a gay man targeted in a horrific homophobic attack.,United States,[699]
2023,Good Grief,Marc Dreyfus,Dan Levy,Oliver is Marc's late husband.,United States,[700]
2023,Good Grief,Oliver,Luke Evans,,United States,[700]
2023,Knock at the Cabin,Andrew,Ben Aldridge,Andrew and Eric are married.,United States,[701]
2023,Knock at the Cabin,Eric,Jonathan Groff,,United States,[701]
2023,Marry My Dead Body,Mao Pang-yu (Mao Mao),Austin Lin,Mao was discussing marriage with his boyfriend but died unjustly because of an accident.,Taiwan,[702]
2023,Nuovo Olimpo,Enea,Damiano Gavino,Enea and Pietro are lovers.,Italy,[703]
2023,Nuovo Olimpo,Pietro,Andrea Di Luigi,,Italy,[703]
2023,Our Son,Gabriel,Billy Porter,,United States,[704]
2023,Our Son,Nicky,Luke Evans,,United States,[704]
2023,Passages,Martin,Ben Whishaw,Martin is married to Tomas.,France,[705][706]
2023,"Red, White & Royal Blue",Prince Henry,Nicholas Galitzine,Henry is the spare to the British throne.,United States,[707]
2023,Rustin,Bayard Rustin,Colman Domingo,,United States,[708]
2023,Strange Way of Life,Sheriff Jake,Ethan Hawke,Jake and Silva are old friends.,Spain,[709][710][711]
2023,Strange Way of Life,Silva,Pedro Pascal,,Spain,[709][710][711]
2023,Theater Camp,Gigi Charbonier,Owen Thiele,,United States,[712]
2024,I Don't Understand You,Cole,Andrew Rannells,Cole and Dom are a couple.,United States,[713]
2024,I Don't Understand You,Dom,Nick Kroll,,United States,[713]
